timestamp,open,high,low,close
1277586420000,1254.82,1254.82,1254.82,1254.82
1277586480000,1254.82,1254.82,1254.82,1254.82
1277586540000,1254.82,1254.82,1254.82,1254.82
1277586600000,1254.82,1254.82,1254.82,1254.82
1277586660000,1254.82,1254.82,1254.82,1254.82
1277586720000,1254.82,1254.82,1254.82,1254.82
1277586780000,1254.82,1254.82,1254.82,1254.82
1277586840000,1254.82,1254.82,1254.82,1254.82
1277586900000,1254.82,1254.82,1254.82,1254.82
1277586960000,1254.82,1254.82,1254.82,1254.82
1277587020000,1254.82,1254.82,1254.82,1254.82
1277587080000,1254.82,1254.82,1254.82,1254.82
1277587140000,1254.82,1254.82,1254.82,1254.82
1277587200000,1254.82,1254.82,1254.82,1254.82
1277587260000,1254.82,1254.82,1254.82,1254.82
1277587320000,1254.82,1254.82,1254.82,1254.82
1277587380000,1254.82,1254.82,1254.82,1254.82
1277587440000,1254.82,1254.82,1254.82,1254.82
1277587500000,1254.82,1254.82,1254.82,1254.82
1277587560000,1254.82,1254.82,1254.82,1254.82
1277587620000,1254.82,1254.82,1254.82,1254.82
1277587680000,1254.82,1254.82,1254.82,1254.82
1277587740000,1254.82,1254.82,1254.82,1254.82
1277587800000,1254.82,1254.82,1254.82,1254.82
1277587860000,1254.82,1254.82,1254.82,1254.82
1277587920000,1254.82,1254.82,1254.82,1254.82
1277587980000,1254.82,1254.82,1254.82,1254.82
1277588040000,1254.82,1254.82,1254.82,1254.82
1277588100000,1254.82,1254.82,1254.82,1254.82
1277588160000,1254.82,1254.82,1254.82,1254.82
1277588220000,1254.82,1254.82,1254.82,1254.82
1277588280000,1254.82,1254.82,1254.82,1254.82
1277588340000,1254.82,1254.82,1254.82,1254.82
1277588400000,1254.82,1254.82,1254.82,1254.82
1277588460000,1254.82,1254.82,1254.82,1254.82
1277588520000,1254.82,1254.82,1254.82,1254.82
1277588580000,1254.82,1254.82,1254.82,1254.82
1277588640000,1254.82,1254.82,1254.82,1254.82
1277588700000,1254.82,1254.82,1254.82,1254.82
1277588760000,1254.82,1254.82,1254.82,1254.82
1277588820000,1254.82,1254.82,1254.82,1254.82
